source,model,B,K,theta_a,theta_b,true_delta,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_dir_wrong
DSPy RS,GLM-4-9B,3000000,6,0.25440550652500715,0.25499600319744203,-0.0005904966724348815,0.2573940847322142,0.2573940847322142,0.2331667354976181,0.2816214339668103,0.24121405750798722,0.20767298017629332,0.2747551348396811,0.2463258785942492,0.23903934341539523,0.2536124137731032,0.25247035763461817,0.23114425590828802,0.27550083636805334,0.25247035763461817,0.2291379844965963,0.27451528939844766,0.25499600319744203,True,True,False,True,True,True
DSPy RS,GLM-4-9B,6500000,6,0.25494109881014504,0.25499600319744203,-5.490438729699454e-05,0.2573940847322142,0.2573940847322142,0.2331667354976181,0.2816214339668103,0.2380191693290735,0.20463088884583547,0.2714074498123115,0.2477635782747604,0.24052225331678795,0.25500490323273284,0.2526615895585314,0.23107196537056585,0.2754225959597365,0.2526615895585314,0.22926464161425913,0.2750844060991795,0.25499600319744203,True,True,True,True,True,True
DSPy RS,InternLM2.5-7B,500000,6,0.2527222022354983,0.24940047961630696,0.0033217226191913363,0.26458832933653076,0.26458832933653076,0.24014400613089806,0.2890326525421634,0.23162939297124602,0.19855451361147952,0.2647042723310125,0.2621405750798722,0.2534699360363706,0.27081121412337383,0.25432680847687267,0.23080574255784073,0.27696649861733463,0.25432680847687267,0.23156289850262254,0.2772279463675091,0.24940047961630696,True,True,False,True,True,False
DSPy RS,InternLM2.5-7B,1500000,6,0.25401331328546484,0.24940047961630696,0.004612833669157879,0.2621902478017586,0.2621902478017586,0.23781731005684756,0.2865631855466696,0.2220447284345048,0.1894600371896496,0.25462941967936,0.26182108626198086,0.25118078489272094,0.2724613876312408,0.2566866214256145,0.2341886190677861,0.27912679670119017,0.2566866214256145,0.23344716002761362,0.280522361915889,0.24940047961630696,True,True,True,True,True,False
DSPy RS,InternLM2.5-7B,3000000,6,0.2503052135340027,0.24940047961630696,0.0009047339176957436,0.26298960831334933,0.26298960831334933,0.23859277177844068,0.287386444848258,0.24600638977635783,0.21224089723497652,0.27977188231773914,0.2662939297124601,0.25881813686539434,0.2737697225595258,0.2515954095256948,0.22866081693919574,0.27488471718931623,0.2515954095256948,0.22872500954641664,0.2752113265808172,0.24940047961630696,True,True,False,True,True,False
DSPy RS,InternLM2.5-7B,6500000,6,0.25202876320831846,0.24940047961630696,0.0026282835920115044,0.26298960831334933,0.26298960831334933,0.23859277177844068,0.287386444848258,0.24600638977635783,0.21224089723497652,0.27977188231773914,0.2662939297124601,0.25881813686539434,0.2737697225595258,0.25352511913114856,0.2300054242728404,0.2765572727723274,0.25352511913114856,0.2306532498801138,0.27699894865506614,0.24940047961630696,True,True,False,True,True,False
DSPy RS,Llama-3.1-8B,500000,6,0.23011244929838137,0.2222222222222222,0.007890227076159162,0.23980815347721823,0.23980815347721823,0.2161478128518077,0.26346849410262874,0.21565495207667731,0.18341091886690777,0.24789898528644685,0.23003194888178916,0.22232436872039021,0.2377395290431881,0.2303010424339295,0.2103518910820482,0.24985321668056767,0.2303010424339295,0.20919705193898092,0.2507413692166218,0.2222222222222222,True,True,True,True,True,False
DSPy RS,Llama-3.1-8B,1500000,6,0.25107993995379513,0.2222222222222222,0.02885771773157292,0.2821742605915268,0.2821742605915268,0.2572343077557642,0.30711421342728934,0.2571884984025559,0.22292109920304232,0.2914558976020695,0.2742811501597444,0.26422243228796266,0.28433986803152617,0.2503855485392857,0.22996742286298338,0.27156566000144583,0.2503855485392857,0.2289078220544396,0.2709404673758794,0.2222222222222222,False,True,False,True,True,False
DSPy RS,Llama-3.1-8B,3000000,6,0.25080244507615534,0.2222222222222222,0.028580222853933135,0.28457234212629895,0.28457234212629895,0.2595685071767063,0.3095761770758916,0.26198083067092653,0.2275073891804681,0.296454272161385,0.2749201277955271,0.2679971688403021,0.2818430867507521,0.24909837112394126,0.22827525726774373,0.2700630532791104,0.24909837112394126,0.22700223090208527,0.2690907701180966,0.2222222222222222,False,True,False,True,True,False
DSPy RS,Llama-3.1-8B,6500000,6,0.25200004183347174,0.2222222222222222,0.029777819611249534,0.2837729816147082,0.2837729816147082,0.2587903440108301,0.3087556192185863,0.26198083067092653,0.2275073891804681,0.296454272161385,0.27284345047923325,0.2650624510795303,0.2806244498789362,0.2506068216885427,0.23020517298591098,0.27165249354593723,0.2506068216885427,0.22879962653397265,0.27016191197278594,0.2222222222222222,False,True,False,True,True,False
DSPy RS,Phi-3.5,500000,5,0.26675277867557795,0.26298960831334933,0.0037631703622286183,0.2853717026378897,0.2853717026378897,0.2603467667068255,0.3103966385689539,0.28115015974440893,0.24590460745333959,0.3163957120354783,0.27428115015974436,0.2676238369228033,0.28093846339668543,0.26393784408502907,0.24196874120089906,0.2851986499489175,0.26393784408502907,0.24323435354550835,0.2850251828093873,0.26298960831334933,True,True,False,True,True,False
DSPy RS,Phi-3.5,1500000,6,0.2775976044468925,0.26298960831334933,0.014607996133543188,0.3053557154276579,0.3053557154276579,0.27983389336263426,0.3308775374926815,0.26677316293929715,0.23209897427993487,0.30144735159865943,0.29536741214057505,0.28699589083840926,0.30373893344274083,0.27508041913028725,0.2527487875681189,0.2974375630954677,0.27508041913028725,0.2540196317041082,0.29665604718155775,0.26298960831334933,False,True,False,True,True,False
