model,B,K,search_tokens,budget_dev_pct,theta_a_true,theta_b_true,true_delta,true_a_better,m1_pt,m3_pt,m3_lo,m3_hi,m4_pt,m4_lo,m4_hi,m5_pt,m5_lo,m5_hi,m6_pt,m6_lo,m6_hi,m7_pt,m7_lo,m7_hi,system_b,m3_cov_a,m4_cov_a,m5_cov_a,m6_cov_a,m7_cov_a,m1_claims_a_gt_b,m3_claims,m4_claims,m5_claims,m6_claims,m7_claims
Phi-3.5,500000,3,554641,10.9282,0.3273169854776817,0.3116883116883117,0.015628673789369996,True,0.33266733266733267,0.33266733266733267,0.3034785956870964,0.36185606964756895,0.33532934131736525,0.29394747237630037,0.37671121025843013,0.3317365269461078,0.32505597869157243,0.3384170752006431,0.3311278949443911,0.30319966010642513,0.3600179173524414,0.3311278949443911,0.30115027214855394,0.36027426227952836,0.3116883116883117,True,True,True,True,True,True,False,False,True,False,False
Phi-3.5,1500000,6,1641225,9.415,0.33132550063572,0.3116883116883117,0.019637188947408346,True,0.34065934065934067,0.34065934065934067,0.3112994717321465,0.37001920958653484,0.33532934131736525,0.29394747237630037,0.37671121025843013,0.33672654690618764,0.3325844414486499,0.3408686523637254,0.3346333709420267,0.3082476528779823,0.3634517838617047,0.3346333709420267,0.3052726147686289,0.36226654007588455,0.3116883116883117,True,True,False,True,True,True,False,False,True,False,False
Phi-3.5,3000000,6,0,-100.0,0.3234576485518458,0.3116883116883117,0.011769336863534097,True,0.3386613386613387,0.3386613386613387,0.3093433752196123,0.36797930210306506,0.32934131736526945,0.2881462749717639,0.37053635975877497,0.33672654690618764,0.33340465131799657,0.3400484424943787,0.3257088497015678,0.29933311803983315,0.3530659144617155,0.3257088497015678,0.29705329453127366,0.3525403197367187,0.3116883116883117,True,True,False,True,True,True,False,False,True,False,False
Phi-3.5,6500000,6,0,-100.0,0.3234576485518458,0.3116883116883117,0.011769336863534097,True,0.3386613386613387,0.3386613386613387,0.3093433752196123,0.36797930210306506,0.32934131736526945,0.2881462749717639,0.37053635975877497,0.33672654690618764,0.33340465131799657,0.3400484424943787,0.3257088497015679,0.2993331180398332,0.35306591446171554,0.3257088497015679,0.2970532945312737,0.35254031973671873,0.3116883116883117,True,True,False,True,True,True,False,False,True,False,False
Qwen2-7B,500000,4,510854,2.1708000000000003,0.31711638567300376,0.3016983016983017,0.015418083974702068,True,0.3226773226773227,0.3226773226773227,0.29371582189313283,0.35163882346151254,0.3213572854291417,0.2804231388987217,0.3622914319595617,0.31177644710578845,0.3030847232284495,0.3204681709831274,0.31421033973182355,0.2871602230850917,0.3433910270704616,0.31421033973182355,0.2844340730321901,0.3411480841590305,0.3016983016983017,True,True,True,True,True,True,False,False,True,False,False
Qwen2-7B,1500000,6,1503885,0.259,0.3229880568627549,0.3016983016983017,0.021289755164453195,True,0.34165834165834164,0.34165834165834164,0.3122777379434212,0.3710389453732621,0.34930139720558884,0.30751247524355435,0.3910903191676233,0.33632734530938124,0.3268367909929788,0.3458178996257837,0.3201313956840923,0.2933600321119831,0.34908813125772803,0.3201313956840923,0.29008697296910485,0.34640018535997014,0.3016983016983017,True,True,False,True,True,True,True,True,True,False,False
Qwen2-7B,3000000,6,0,-100.0,0.325309541897452,0.3016983016983017,0.023611240199150285,True,0.34165834165834164,0.34165834165834164,0.3122777379434212,0.3710389453732621,0.34930139720558884,0.30751247524355435,0.3910903191676233,0.3343313373253493,0.32648257301605427,0.34218010163464435,0.3219868053726764,0.29432362525675404,0.3511046837466202,0.3219868053726764,0.2917100754429542,0.34833638507307924,0.3016983016983017,True,True,False,True,True,True,True,True,True,False,False
Qwen2-7B,6500000,6,0,-100.0,0.3223478037412256,0.3016983016983017,0.02064950204292393,True,0.34165834165834164,0.34165834165834164,0.3122777379434212,0.3710389453732621,0.34930139720558884,0.30751247524355435,0.3910903191676233,0.3343313373253493,0.32648257301605427,0.34218010163464435,0.3195213657568131,0.2922805885015957,0.3483000536946331,0.3195213657568131,0.2904741657471536,0.3456687311149088,0.3016983016983017,True,True,False,True,True,True,True,True,True,False,False
Qwen2.5-3B,500000,4,565748,13.1496,0.25592093178847886,0.25074925074925075,0.005171681039228104,True,0.26073926073926074,0.26073926073926074,0.23354100402087544,0.28793751745764606,0.2375249500998004,0.20022240144778852,0.2748274987518123,0.24151696606786427,0.23438864278837412,0.24864528934735441,0.24727642627859248,0.2213310095993096,0.27201568271342064,0.24727642627859248,0.22212111185585307,0.27132509397377425,0.25074925074925075,True,True,False,True,True,True,False,False,False,False,False
Qwen2.5-3B,1500000,6,1531571,2.1047333333333333,0.2580551956550812,0.25074925074925075,0.007305944905830475,True,0.26873126873126874,0.26873126873126874,0.2412689858950013,0.2961935515675362,0.24550898203592814,0.20778376048500322,0.28323420358685303,0.252694610778443,0.24650397137374666,0.25888525018313935,0.2503882304218089,0.22498907652459127,0.2751936535092013,0.2503882304218089,0.22561700965446155,0.2747221894873338,0.25074925074925075,True,True,True,True,True,True,False,False,False,False,False
Qwen2.5-3B,3000000,6,0,-100.0,0.258043398098125,0.25074925074925075,0.007294147348874236,True,0.26873126873126874,0.26873126873126874,0.2412689858950013,0.2961935515675362,0.24151696606786427,0.20400085380329863,0.2790330783324299,0.25389221556886227,0.2475646418245836,0.26021978931314094,0.2506731529608445,0.22615692084727054,0.27481304688751906,0.2506731529608445,0.22685430296637543,0.27446420426536794,0.25074925074925075,True,True,True,True,True,True,False,False,False,False,False
Qwen2.5-3B,6500000,6,0,-100.0,0.259043024262945,0.25074925074925075,0.008293773513694258,True,0.26873126873126874,0.26873126873126874,0.2412689858950013,0.2961935515675362,0.24151696606786427,0.20400085380329863,0.2790330783324299,0.24970059880239517,0.24218657315485134,0.25721462444993903,0.25123420087150855,0.22596903001310054,0.27574135506461306,0.25123420087150855,0.22745048276834437,0.2750245605471234,0.25074925074925075,True,True,False,True,True,True,False,False,False,False,False
Qwen2.5-7B,500000,5,633155,26.631,0.3571962711900165,0.3336663336663337,0.02352993752368282,True,0.36063936063936064,0.36063936063936064,0.3308919928444574,0.39038672843426386,0.32934131736526945,0.2881462749717639,0.37053635975877497,0.3506986027944112,0.3424356654980007,0.35896154009082165,0.35622401648777513,0.3279855832729913,0.3844675670757723,0.35622401648777513,0.3277206894601939,0.3842115963407774,0.3336663336663337,True,True,True,True,True,True,False,False,True,False,False
Qwen2.5-7B,1500000,6,1630892,8.726133333333333,0.3587950870512204,0.3336663336663337,0.025128753384886682,True,0.37162837162837165,0.37162837162837165,0.3416918217227465,0.4015649215339968,0.36327345309381237,0.3211169694020419,0.40542993678558287,0.3652694610778443,0.35451275645255875,0.37602616570312986,0.35648772920268135,0.32773674086643667,0.38486015666923507,0.35648772920268135,0.3278011347312342,0.38426323338146734,0.3336663336663337,True,True,True,True,True,True,True,False,True,False,False
Qwen2.5-7B,3000000,6,0,-100.0,0.35592577011061927,0.3336663336663337,0.022259436444285574,True,0.36163836163836166,0.36163836163836166,0.3318731023915825,0.3914036208851408,0.34331337325349304,0.30169400192914475,0.3849327445778413,0.3508982035928144,0.3463762971301353,0.35542011005549345,0.3523864172026797,0.32452411267993186,0.38038578919233473,0.3523864172026797,0.3233190535533224,0.3802777628017028,0.3336663336663337,True,True,False,True,True,True,False,False,True,False,False
Qwen2.5-7B,6500000,6,0,-100.0,0.3565901017396402,0.3336663336663337,0.022923768073306483,True,0.36163836163836166,0.36163836163836166,0.3318731023915825,0.3914036208851408,0.34331337325349304,0.30169400192914475,0.3849327445778413,0.3491017964071856,0.34207184427285015,0.356131748541521,0.3528165980634358,0.3244393249335536,0.38075569561643297,0.3528165980634358,0.324121102294607,0.380107149238115,0.3336663336663337,True,True,False,True,True,True,False,False,True,False,False
Qwen3-8B,500000,4,505573,1.1146,0.34860098969257947,0.33966033966033965,0.008940650032239816,True,0.3596403596403596,0.3596403596403596,0.32991102289656227,0.38936969638415697,0.3712574850299401,0.3289082965709812,0.413606673488899,0.3502994011976048,0.34310163588698017,0.3574971665082294,0.34592336217527436,0.3166001261116009,0.3742877441901857,0.34592336217527436,0.31746652728424496,0.37394354284568015,0.33966033966033965,True,True,True,True,True,True,False,False,True,False,False
Qwen3-8B,1500000,6,1601001,6.7334000000000005,0.3525270742769955,0.33966033966033965,0.012866734616655828,True,0.37362637362637363,0.37362637362637363,0.34365721664223875,0.4035955306105085,0.3872255489021956,0.3445279556190442,0.42992314218534705,0.36626746506986024,0.35815028980326485,0.37438464033645563,0.34999991732475544,0.3221919901075039,0.3788522245397979,0.34999991732475544,0.32135632661203983,0.37716939421153683,0.33966033966033965,True,True,False,True,True,True,True,True,True,False,False
Qwen3-8B,3000000,6,0,-100.0,0.3449496238494514,0.33966033966033965,0.0052892841891117315,True,0.35764235764235763,0.35764235764235763,0.32794950281769425,0.387335212467021,0.37924151696606784,0.33671201095625486,0.4217710229758808,0.34930139720558884,0.3391749816180169,0.3594278127931608,0.3435606653133737,0.31622676543748396,0.3708840359260709,0.3435606653133737,0.31584620357384907,0.37062408960829846,0.33966033966033965,True,True,True,True,True,True,False,False,False,False,False
Qwen3-8B,6500000,6,0,-100.0,0.3462965519882418,0.33966033966033965,0.0066362123279021246,True,0.35764235764235763,0.35764235764235763,0.32794950281769425,0.387335212467021,0.37924151696606784,0.33671201095625486,0.4217710229758808,0.34910179640718564,0.33868555986641086,0.3595180329479604,0.3447305918932203,0.31657976274137045,0.37208114475613085,0.3447305918932203,0.3165502824657098,0.3716823433734408,0.33966033966033965,True,True,True,True,True,True,False,False,False,False,False
Yi-1.5-6B,500000,3,512435,2.487,0.24406745251736942,0.21878121878121878,0.025286233736150632,True,0.24975024975024976,0.24975024975024976,0.2229341922629792,0.27656630723752035,0.24550898203592814,0.20778376048500322,0.28323420358685303,0.24810379241516967,0.24276686210196272,0.2534407227283766,0.24656247638842005,0.2220969630128169,0.2707252438034969,0.24656247638842005,0.2219187975213099,0.2703800007229946,0.21878121878121878,True,True,True,True,True,True,True,False,True,True,True
Yi-1.5-6B,1500000,6,1586923,5.794866666666667,0.24256448062267044,0.21878121878121878,0.02378326184145166,True,0.24775224775224775,0.24775224775224775,0.22100812951365012,0.27449636599084537,0.249500998003992,0.21157104782221153,0.2874309481857725,0.23952095808383236,0.2347938582618273,0.24424805790583742,0.2459133579127292,0.22133321573226675,0.26959595793048163,0.2459133579127292,0.22226450679092882,0.268698092464933,0.21878121878121878,True,True,True,True,True,True,True,False,True,True,True
Yi-1.5-6B,3000000,6,0,-100.0,0.2479039740021868,0.21878121878121878,0.029122755220968022,True,0.25774225774225773,0.25774225774225773,0.23064600622095432,0.28483850926356113,0.26746506986027946,0.22866622688610563,0.3062639128344533,0.24910179640718563,0.24080650787060465,0.2573970849437666,0.25105996625752125,0.22662772618700872,0.2751262773909427,0.25105996625752125,0.22702958497318446,0.2751194157108636,0.21878121878121878,True,True,True,True,True,True,True,True,True,True,True
Yi-1.5-6B,6500000,6,0,-100.0,0.2438887093293907,0.21878121878121878,0.025107490548171907,True,0.25074925074925075,0.25074925074925075,0.22389750986963142,0.2776009916288701,0.24550898203592814,0.20778376048500322,0.28323420358685303,0.2399201596806387,0.23605521524805623,0.24378510411322118,0.24759293050464706,0.2234203568095243,0.27143958979579624,0.24759293050464706,0.2246106027083601,0.2712151565073696,0.21878121878121878,True,True,False,True,True,True,True,False,True,True,True
